Id,MSSubClass,MSZoning,LotFrontage,LotArea,Utilities,Neighborhood,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,Foundation,BsmtExposure,Electrical,BsmtFullBath,BsmtHalfBath,BedroomAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageCars,GarageArea,PavedDrive,PoolArea,Fence,YrSold,SalePrice
319,60,RL,89.0,11033,AllPub,NoRidge,Norm,1Fam,2Story,7,1994,1994,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,2,Attchd,2.0,552.0,Y,0,,2008,271132.4697837143
320,50,RM,58.0,9229,AllPub,IDOTRR,Norm,1Fam,1.5Fin,6,1921,1975,Gable,BrkTil,Mn,SBrkr,0.0,0.0,2,TA,Typ,0,Detchd,1.0,652.0,Y,0,MnPrv,2010,109555.9904046825
321,30,RM,58.0,6014,AllPub,OldTown,Norm,1Fam,1Story,2,1940,1950,Gable,BrkTil,,FuseA,0.0,0.0,1,TA,Typ,0,Detchd,1.0,335.0,N,0,,2009,52888.41701858346
322,20,RH,,8989,AllPub,SawyerW,Norm,1Fam,1Story,4,1966,1966,Gable,CBlock,No,SBrkr,1.0,0.0,2,TA,Typ,0,Detchd,1.0,411.0,Y,0,MnPrv,2006,107076.95256140873
323,85,RL,82.0,8829,AllPub,Sawyer,Norm,1Fam,SFoyer,5,1982,1982,Hip,CBlock,Av,SBrkr,1.0,0.0,2,TA,Typ,0,Detchd,2.0,555.0,Y,0,,2009,137079.96961865108
324,85,RL,,7489,AllPub,Sawyer,Norm,1Fam,SFoyer,5,1984,1984,Gable,PConc,Av,SBrkr,1.0,0.0,2,TA,Typ,0,Attchd,2.0,533.0,Y,0,,2008,142064.18878598948
325,20,RL,93.0,10271,AllPub,Somerst,Norm,1Fam,1Story,8,2006,2006,Hip,PConc,Mn,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,527.0,Y,0,,2006,290212.6873125345
326,20,RL,111.0,13561,AllPub,NridgHt,Norm,1Fam,1Story,10,2003,2003,Hip,PConc,Gd,SBrkr,0.0,0.0,3,Ex,Typ,1,Attchd,3.0,995.0,Y,0,,2009,386366.95255146554
327,70,RM,129.0,17760,AllPub,OldTown,Norm,1Fam,2Story,8,1882,1986,Gable,BrkTil,No,SBrkr,0.0,0.0,4,Gd,Typ,1,Attchd,2.0,451.0,P,0,,2009,168016.31783350685
328,20,RL,,11164,AllPub,ClearCr,Norm,1Fam,1Story,6,1984,1984,Hip,PConc,No,SBrkr,0.0,0.0,3,TA,Typ,1,Attchd,2.0,579.0,Y,0,GdPrv,2007,191043.3706179248
329,20,RM,58.0,6089,AllPub,OldTown,Norm,1Fam,1Story,5,1957,1957,Hip,CBlock,No,FuseA,0.0,0.0,3,TA,Typ,0,Attchd,1.0,315.0,Y,0,,2008,112765.05582950453
330,90,RL,93.0,11564,AllPub,NAmes,Norm,Duplex,1Story,5,1958,1958,Gable,CBlock,No,SBrkr,1.0,0.0,4,TA,Typ,0,Detchd,3.0,915.0,Y,0,,2009,110156.04501176853
331,20,RL,83.0,10075,AllPub,Somerst,Norm,1Fam,1Story,8,2006,2007,Gable,PConc,Av,SBrkr,0.0,0.0,2,Gd,Typ,1,Attchd,3.0,922.0,Y,0,,2007,147020.77797726152
332,20,RL,,11589,AllPub,Edwards,Norm,1Fam,1Story,4,1957,1957,Gable,Slab,,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,1.0,317.0,N,0,,2009,84148.7849414145
333,30,RH,78.0,4359,AllPub,Edwards,Norm,1Fam,1Story,3,1931,2006,Gable,BrkTil,No,SBrkr,0.0,0.0,3,Gd,Typ,0,,0.0,27.0,Y,0,,2007,79174.30690032885
334,80,RL,70.0,7795,AllPub,Mitchel,Norm,1Fam,SLvl,6,1993,1996,Gable,CBlock,Av,SBrkr,0.0,1.0,2,TA,Typ,0,Attchd,1.0,456.0,Y,0,,2009,128135.9803767701
335,20,FV,80.0,8729,AllPub,Somerst,Norm,1Fam,1Story,8,2006,2006,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Attchd,2.0,611.0,Y,0,,2006,208388.25710896731
336,120,RL,49.0,5484,AllPub,StoneBr,Norm,TwnhsE,1Story,8,1993,1993,Gable,PConc,No,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,2.0,489.0,Y,0,,2008,180172.20244676678
337,160,RL,44.0,2717,AllPub,NridgHt,Norm,Twnhs,2Story,7,2003,2003,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,0,BuiltIn,2.0,501.0,Y,0,,2010,175641.9176221804
338,120,RL,58.0,7264,AllPub,SawyerW,Norm,TwnhsE,1Story,6,1991,1991,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Attchd,2.0,511.0,Y,0,,2006,155816.0308256867
339,190,RL,88.0,8889,AllPub,NAmes,Norm,2fmCon,1Story,6,1965,2000,Hip,PConc,Mn,SBrkr,1.0,0.0,3,Gd,Min1,2,Attchd,1.0,326.0,Y,0,MnPrv,2006,172936.14728074474
340,20,FV,103.0,11728,AllPub,Somerst,Norm,1Fam,1Story,7,2007,2008,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,507.0,Y,0,,2008,182195.36078492238
341,190,RM,108.0,9134,AllPub,OldTown,Norm,2fmCon,2Story,5,1910,1950,Gable,BrkTil,Mn,FuseF,0.0,0.0,4,Fa,Typ,0,,0.0,27.0,N,0,,2010,88970.37920152803
342,120,RM,,4515,AllPub,CollgCr,Norm,TwnhsE,1Story,6,2004,2004,Gable,PConc,Gd,SBrkr,1.0,0.0,1,Gd,Typ,1,Attchd,2.0,447.0,Y,0,,2008,141038.00758215532
343,50,RL,68.0,7289,AllPub,NAmes,Norm,1Fam,1.5Fin,5,1955,1967,Gable,CBlock,Mn,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,2.0,507.0,Y,0,,2008,145517.0221294167
344,90,RL,,10713,AllPub,NAmes,Norm,Duplex,1Story,5,1964,1964,Gable,CBlock,No,SBrkr,0.0,1.0,6,TA,Typ,0,Detchd,1.0,379.0,Y,0,,2007,119036.83306428052
345,20,RL,,8258,AllPub,Sawyer,Norm,1Fam,1Story,5,1966,1966,Gable,CBlock,No,SBrkr,1.0,0.0,3,Gd,Typ,0,Detchd,1.0,342.0,Y,0,MnPrv,2007,127669.72980630478
346,80,RL,86.0,12179,AllPub,NWAmes,Norm,1Fam,SLvl,6,1984,2003,Hip,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,1,BuiltIn,2.0,504.0,Y,0,,2007,178008.24401453987
347,20,RL,,8599,AllPub,NAmes,Norm,1Fam,1Story,5,1971,1971,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Attchd,1.0,363.0,Y,0,,2009,144250.19030558172
348,50,RL,68.0,8153,AllPub,NAmes,Norm,1Fam,1.5Fin,6,1948,1994,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,2.0,603.0,Y,0,,2009,133593.15838229778
349,120,RL,51.0,7141,AllPub,NridgHt,Norm,TwnhsE,1Story,7,2005,2005,Gable,PConc,Av,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,2.0,511.0,Y,0,,2006,186106.23769149653
350,20,RL,68.0,11753,AllPub,NAmes,Norm,1Fam,1Story,6,1948,1950,Gable,CBlock,No,SBrkr,0.0,0.0,2,TA,Typ,1,Detchd,1.0,267.0,Y,0,,2007,119319.30872290238
351,60,RL,,9594,AllPub,Gilbert,Norm,1Fam,2Story,7,2001,2001,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,BuiltIn,2.0,461.0,Y,0,,2010,222546.39347356182
352,190,RL,76.0,10969,AllPub,Edwards,Norm,2fmCon,1Story,5,1950,1950,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Detchd,1.0,267.0,Y,0,,2008,125056.03450295511
353,90,RM,58.0,3089,AllPub,OldTown,Norm,Duplex,2Story,5,1922,1950,Hip,BrkTil,No,SBrkr,0.0,0.0,4,TA,Sev,0,,0.0,27.0,Y,0,,2009,67212.49151032353
354,60,FV,93.0,10714,AllPub,Somerst,Norm,1Fam,2Story,7,2005,2005,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,3.0,963.0,Y,0,,2008,250000.26954537976
355,20,RL,78.0,7789,AllPub,CollgCr,Norm,1Fam,1Story,5,1972,1972,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Detchd,2.0,488.0,Y,0,MnPrv,2007,112528.0162118141
356,30,RL,60.0,5914,AllPub,BrkSide,Norm,1Fam,1Story,4,1926,1953,Gable,PConc,Mn,SBrkr,0.0,0.0,1,TA,Typ,0,Detchd,2.0,555.0,Y,0,,2006,80221.27183175107
357,20,RL,72.0,7449,AllPub,CollgCr,Norm,1Fam,1Story,7,2010,2010,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Attchd,2.0,642.0,Y,0,,2010,184644.42694639135
358,160,RM,32.0,2611,AllPub,Edwards,Norm,Twnhs,2Story,6,2004,2006,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Maj1,0,Detchd,2.0,407.0,Y,0,,2006,130004.72638835659
359,60,RL,78.0,7792,AllPub,SawyerW,Norm,1Fam,2Story,6,1992,1992,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,555.0,Y,0,,2009,180718.9293153971
360,60,RL,,12316,AllPub,NWAmes,Norm,1Fam,2Story,6,1977,1995,Gable,CBlock,No,SBrkr,1.0,0.0,4,TA,Typ,1,Attchd,2.0,646.0,Y,0,,2008,272140.32205342985
361,50,RL,58.0,5089,AllPub,SWISU,Norm,1Fam,1.5Fin,5,1924,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Detchd,1.0,335.0,Y,0,,2010,127042.23102100354
362,20,RL,,21784,AllPub,Crawfor,Norm,1Fam,1Story,6,1988,2007,Hip,CBlock,No,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,567.0,Y,0,,2009,222021.13403697222
363,85,RL,,12211,AllPub,NAmes,Norm,1Fam,SFoyer,7,1961,2007,Gable,CBlock,Av,SBrkr,1.0,0.0,3,Ex,Typ,0,Attchd,2.0,615.0,Y,0,,2008,178649.60529187886
364,85,RL,83.0,11469,AllPub,NAmes,Norm,1Fam,SFoyer,6,1966,2008,Gable,CBlock,Gd,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,1.0,342.0,Y,0,,2010,164848.8484162137
365,20,RL,82.0,11652,AllPub,Timber,Norm,1Fam,1Story,8,2006,2007,Hip,PConc,Gd,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,3.0,815.0,Y,0,,2008,246170.17727606444
366,60,RL,88.0,10027,AllPub,SawyerW,Norm,1Fam,2Story,7,1993,1994,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,601.0,Y,0,GdPrv,2010,236158.8875634877
367,20,RL,122.0,10446,AllPub,SawyerW,Norm,1Fam,1Story,7,1990,1991,Hip,PConc,Mn,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,746.0,Y,0,,2007,180023.240183063
368,60,RL,,10019,AllPub,CollgCr,Norm,1Fam,2Story,7,2002,2002,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,618.0,Y,0,,2006,205941.85525461746
369,20,RL,,9589,AllPub,NAmes,Norm,1Fam,1Story,6,1963,1963,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,2,Attchd,2.0,541.0,Y,0,,2009,159160.94820348904
370,50,RL,123.0,21375,AllPub,Sawyer,Norm,1Fam,1.5Fin,5,1948,1950,Gable,CBlock,No,SBrkr,0.0,0.0,4,TA,Typ,1,Attchd,1.0,339.0,Y,0,,2008,135264.50279114678
371,80,RL,50.0,10474,AllPub,CollgCr,Norm,1Fam,SLvl,6,1978,1978,Gable,CBlock,Av,SBrkr,0.0,1.0,3,TA,Typ,0,Detchd,3.0,699.0,Y,0,,2006,169818.49991864996
372,50,RM,60.0,6329,AllPub,BrkSide,Norm,1Fam,1.5Fin,5,1930,1992,Gable,PConc,No,SBrkr,0.0,0.0,3,TA,Typ,1,Detchd,2.0,387.0,P,0,,2008,163106.30036404045
373,20,FV,76.0,8825,AllPub,Somerst,Norm,1Fam,1Story,7,2003,2004,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,2.0,615.0,Y,0,,2009,222325.57094798598
374,20,RL,75.0,16374,AllPub,CollgCr,Norm,1Fam,1Story,7,2001,2002,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,632.0,Y,0,,2009,187581.25560074247
375,50,RL,68.0,6089,AllPub,SWISU,Norm,1Fam,1.5Fin,5,1926,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,4,TA,Typ,0,,0.0,27.0,P,0,,2006,102073.68473296691
376,60,FV,108.0,12641,AllPub,Somerst,Norm,1Fam,2Story,7,2004,2005,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,2.0,705.0,Y,0,GdWo,2010,254957.8221829527
377,20,RL,85.0,9599,AllPub,NAmes,Norm,1Fam,1Story,6,1962,1985,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,1.0,291.0,Y,0,,2006,142362.0917419624
378,60,RL,,11089,AllPub,NoRidge,Norm,1Fam,2Story,9,2000,2000,Hip,PConc,Mn,SBrkr,0.0,0.0,4,Ex,Typ,1,BuiltIn,3.0,714.0,Y,0,,2008,316991.9882393272
379,60,RL,70.0,8333,AllPub,Gilbert,Norm,1Fam,2Story,7,2004,2004,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,2.0,467.0,Y,0,,2007,183617.79873539627
380,20,RL,137.0,16826,AllPub,NridgHt,Norm,1Fam,1Story,9,2004,2005,Hip,PConc,Av,SBrkr,1.0,0.0,3,Ex,Typ,1,Attchd,3.0,797.0,Y,0,,2006,315013.9454151588
381,60,RL,98.0,14759,AllPub,NAmes,Norm,1Fam,2Story,6,1966,1999,Gable,CBlock,No,SBrkr,0.0,0.0,4,Gd,Typ,1,Attchd,2.0,507.0,Y,0,MnPrv,2008,214369.88112459882
382,20,RL,87.0,10329,AllPub,NWAmes,Norm,1Fam,1Story,6,1980,1980,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,1,Attchd,2.0,639.0,Y,0,,2006,207560.24354777957
383,60,RL,,9860,AllPub,SawyerW,Norm,1Fam,2Story,6,1995,2002,Gable,PConc,No,SBrkr,0.0,1.0,4,Gd,Typ,1,BuiltIn,2.0,641.0,Y,0,GdPrv,2008,248068.50496706602
384,20,RL,,15765,AllPub,Veenker,Norm,1Fam,1Story,8,1980,1980,Gable,CBlock,Gd,SBrkr,1.0,0.0,2,Gd,Maj1,2,Attchd,3.0,891.0,Y,0,MnPrv,2009,292236.65220069356
385,60,RL,108.0,12280,AllPub,NoRidge,Norm,1Fam,2Story,8,1997,1998,Hip,PConc,Av,SBrkr,1.0,0.0,4,Gd,Typ,2,Attchd,3.0,952.0,Y,0,,2007,353507.97754784825
386,20,RL,112.0,11450,AllPub,NWAmes,Norm,1Fam,1Story,6,1976,1976,Gable,CBlock,No,SBrkr,0.0,1.0,3,TA,Typ,1,Attchd,2.0,505.0,Y,0,MnPrv,2008,180080.17705735602
387,20,RL,98.0,13157,AllPub,NWAmes,Norm,1Fam,1Story,6,1976,1976,Hip,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,488.0,Y,0,MnPrv,2008,164848.82315307524
388,160,FV,,3087,AllPub,Somerst,Norm,TwnhsE,2Story,6,2000,2000,Gable,PConc,No,SBrkr,0.0,0.0,2,Gd,Typ,0,Detchd,2.0,467.0,Y,0,,2006,170094.36958500376
389,20,RL,,10797,AllPub,ClearCr,Norm,1Fam,1Story,5,1955,1993,Hip,CBlock,No,FuseA,1.0,0.0,2,TA,Typ,3,Attchd,1.0,330.0,Y,0,GdWo,2009,190030.68476754238
390,90,RL,81.0,9158,AllPub,SawyerW,Norm,Duplex,SFoyer,6,1993,1993,Gable,PConc,Av,SBrkr,2.0,0.0,2,Gd,Typ,0,Attchd,4.0,947.0,Y,0,,2006,210831.875737575
391,20,RL,68.0,9689,AllPub,Sawyer,Norm,1Fam,1Story,4,1950,1995,Gable,CBlock,No,SBrkr,0.0,0.0,2,Gd,Min2,0,Attchd,2.0,463.0,Y,0,,2010,128139.56078801761
392,160,RM,32.0,1577,AllPub,Blueste,Norm,TwnhsE,2Story,6,1980,1992,Gable,CBlock,Mn,SBrkr,1.0,0.0,2,Gd,Typ,1,Attchd,2.0,489.0,Y,0,GdPrv,2009,128937.10700553605
393,20,RL,116.0,12317,AllPub,NridgHt,Norm,1Fam,1Story,7,2006,2006,Hip,PConc,No,SBrkr,0.0,0.0,4,Gd,Typ,0,Attchd,3.0,901.0,Y,0,,2006,247214.70244381737
394,70,RL,88.0,16649,AllPub,Crawfor,Norm,1Fam,2Story,6,1932,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,4,TA,Typ,1,Detchd,2.0,387.0,Y,0,,2006,239004.9516336994
395,20,RL,,9699,AllPub,NAmes,Norm,1Fam,1Story,6,1958,1958,Hip,CBlock,No,FuseA,0.0,0.0,3,TA,Typ,1,Attchd,2.0,515.0,Y,0,,2006,154106.30779562562
396,60,RL,88.0,10489,AllPub,NWAmes,Norm,1Fam,2Story,6,1972,1972,Gable,CBlock,No,SBrkr,1.0,0.0,4,TA,Min2,1,Attchd,2.0,511.0,Y,0,,2006,165278.8123781171
397,20,RL,99.0,11919,AllPub,Somerst,Norm,1Fam,1Story,8,2007,2007,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,3.0,879.0,Y,0,,2007,262632.7137824994
398,85,RL,,10139,AllPub,NAmes,Norm,1Fam,SFoyer,5,1966,1966,Gable,CBlock,Av,SBrkr,0.0,1.0,3,TA,Typ,1,Basment,2.0,459.0,Y,0,,2007,159314.56832953403
399,60,RL,88.0,9849,AllPub,NAmes,Norm,1Fam,2Story,6,1964,1964,Gable,CBlock,Gd,SBrkr,1.0,0.0,4,TA,Typ,0,Attchd,2.0,469.0,Y,0,,2008,168120.46388347136
400,60,RL,110.0,12240,AllPub,NridgHt,Norm,1Fam,2Story,9,2005,2005,Gable,PConc,Av,SBrkr,1.0,0.0,3,Ex,Typ,1,BuiltIn,3.0,1030.0,Y,0,,2008,364075.4992056144
401,160,RM,29.0,2306,AllPub,MeadowV,Norm,TwnhsE,2Story,4,1970,1970,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,1.0,313.0,Y,0,,2009,88248.6160127448
402,50,RM,58.0,9089,AllPub,IDOTRR,Norm,1Fam,1.5Fin,6,1937,1950,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Detchd,1.0,571.0,P,0,,2007,141118.39701560413
403,45,RL,63.0,10683,AllPub,Crawfor,Norm,1Fam,1.5Unf,5,1926,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,2,TA,Typ,0,Detchd,1.0,227.0,Y,0,MnPrv,2007,96589.25424428482
404,60,RL,100.0,12092,AllPub,Timber,Norm,1Fam,2Story,8,2009,2010,Gable,PConc,No,SBrkr,0.0,0.0,4,Ex,Typ,1,BuiltIn,3.0,707.0,Y,0,,2010,269672.02360810805
405,60,RL,78.0,8839,AllPub,CollgCr,Norm,1Fam,2Story,6,1998,1998,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,550.0,Y,0,,2010,200952.51896713546
406,20,RL,56.0,12226,AllPub,CollgCr,Norm,1Fam,1Story,7,1998,1998,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,625.0,Y,0,,2010,225287.69808526832
407,50,RL,160.0,12223,AllPub,Gilbert,Norm,1Fam,1.5Fin,8,1988,2005,Gable,Wood,Av,SBrkr,0.0,0.0,4,TA,Typ,0,Basment,2.0,519.0,Y,0,,2010,164049.9286992976
408,60,RL,,14851,AllPub,Gilbert,Norm,1Fam,2Story,5,1948,1950,Gable,Slab,,SBrkr,0.0,0.0,2,TA,Typ,1,Attchd,2.0,699.0,P,0,,2006,169015.9416170167
409,70,RM,58.0,10389,AllPub,OldTown,Feedr,1Fam,2Story,7,1921,1950,Gable,BrkTil,No,SBrkr,0.0,0.0,3,TA,Typ,0,Detchd,2.0,507.0,Y,0,GdPrv,2010,140375.2914319787
410,60,RL,74.0,8827,AllPub,Gilbert,Norm,1Fam,2Story,7,1999,1999,Gable,PConc,No,SBrkr,0.0,0.0,4,Gd,Typ,1,BuiltIn,2.0,456.0,Y,0,,2006,230360.2434585384
411,80,RL,,13696,AllPub,Crawfor,Norm,1Fam,SLvl,6,1986,1986,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,1,BuiltIn,2.0,528.0,Y,0,,2009,226541.98626350478
412,30,RL,59.0,5989,AllPub,BrkSide,Norm,1Fam,1Story,4,1923,1958,Gable,PConc,No,FuseA,0.0,0.0,2,Fa,Typ,0,,0.0,27.0,Y,0,,2006,85526.80350490053
413,20,RL,73.0,7889,AllPub,Sawyer,Norm,1Fam,1Story,5,1966,2008,Hip,CBlock,Mn,SBrkr,1.0,0.0,3,Gd,Typ,0,Detchd,1.0,443.0,Y,0,,2010,129720.60812538394
414,70,RM,68.0,6089,AllPub,OldTown,Norm,1Fam,2Story,5,1905,2005,Gable,BrkTil,No,SBrkr,0.0,0.0,3,Gd,Typ,0,,0.0,27.0,N,0,,2008,123578.06745697428
415,20,RL,74.0,8009,AllPub,NAmes,Norm,1Fam,1Story,5,1970,2002,Gable,CBlock,No,SBrkr,0.0,0.0,3,Ex,Typ,0,Attchd,1.0,395.0,Y,0,,2007,117034.13460506102
416,120,RL,69.0,7666,AllPub,NridgHt,Norm,TwnhsE,1Story,6,2005,2006,Gable,PConc,Av,SBrkr,0.0,0.0,2,Gd,Typ,1,Attchd,2.0,487.0,Y,0,,2007,194744.81921514243
417,60,RL,,7839,AllPub,Gilbert,Norm,1Fam,2Story,7,2002,2002,Gable,PConc,No,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,2.0,430.0,Y,0,,2008,168354.3599176392
418,50,RM,66.0,8244,AllPub,IDOTRR,Norm,1Fam,1.5Fin,5,1930,1950,Gable,CBlock,No,FuseA,0.0,0.0,4,TA,Typ,0,,0.0,27.0,Y,0,,2008,105085.73776172676
419,160,RM,29.0,2090,AllPub,MeadowV,Norm,Twnhs,2Story,4,1970,1970,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,0,Attchd,1.0,313.0,Y,0,,2007,75018.9890085936
420,160,RM,29.0,1769,AllPub,BrDale,Norm,Twnhs,2Story,6,1972,1972,Gable,CBlock,No,SBrkr,0.0,0.0,2,TA,Typ,1,Attchd,1.0,315.0,Y,0,,2006,94800.01259139588
421,20,RL,88.0,9689,AllPub,Veenker,Norm,1Fam,1Story,6,1976,1976,Gable,CBlock,Gd,SBrkr,0.0,1.0,3,TA,Typ,1,Attchd,2.0,487.0,Y,0,,2007,181532.7068396605
422,70,RL,83.0,12089,AllPub,Crawfor,Norm,1Fam,2Story,7,1941,1950,Gable,CBlock,No,SBrkr,0.0,0.0,3,Fa,Typ,1,Attchd,1.0,261.0,Y,0,,2009,174540.3824119138
423,30,RM,58.0,7089,AllPub,IDOTRR,Norm,1Fam,1Story,6,1926,1998,Gable,BrkTil,No,SBrkr,1.0,0.0,2,TA,Typ,0,Detchd,1.0,222.0,P,0,MnPrv,2008,112993.21965813027
424,60,RL,,8485,AllPub,Gilbert,Norm,1Fam,2Story,7,2003,2003,Gable,PConc,No,SBrkr,0.0,0.0,4,Gd,Typ,1,BuiltIn,2.0,461.0,Y,0,,2008,210027.5905193066
425,20,RL,89.0,9349,AllPub,SawyerW,Norm,1Fam,1Story,7,2007,2007,Gable,PConc,Mn,SBrkr,0.0,0.0,3,Gd,Typ,0,Attchd,2.0,510.0,Y,0,,2008,166990.4212118418
426,60,RL,,12038,AllPub,NoRidge,Norm,1Fam,2Story,7,1991,2008,Gable,PConc,No,SBrkr,0.0,1.0,3,Gd,Typ,1,Attchd,2.0,551.0,Y,0,GdPrv,2009,256599.6476861972
427,60,FV,,8099,AllPub,Somerst,Norm,1Fam,2Story,8,2003,2004,Hip,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,2,Detchd,2.0,579.0,Y,0,,2007,281764.2543710147
428,60,RL,79.0,7884,AllPub,Gilbert,Norm,1Fam,2Story,7,2004,2005,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,1,Attchd,2.0,459.0,Y,0,,2009,188540.15262519615
429,90,RL,68.0,9089,AllPub,NAmes,Norm,Duplex,2Story,5,1974,1974,Gable,CBlock,Mn,SBrkr,0.0,0.0,4,TA,Typ,0,Detchd,2.0,507.0,Y,0,,2008,146205.10300853915
430,60,RL,138.0,40183,AllPub,Edwards,PosN,1Fam,2Story,10,2007,2008,Hip,PConc,Gd,SBrkr,1.0,0.0,3,Ex,Typ,1,BuiltIn,3.0,911.0,Y,0,,2007,184816.2688011311
431,80,RL,,11193,AllPub,NWAmes,Norm,1Fam,SLvl,6,1969,1969,Gable,CBlock,Av,SBrkr,0.0,1.0,4,TA,Typ,0,Attchd,2.0,543.0,Y,0,,2008,183936.39525319295
432,20,RL,87.0,9325,AllPub,CollgCr,Norm,1Fam,1Story,6,1997,1997,Gable,PConc,Gd,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,2.0,603.0,Y,0,,2006,217242.7464653175
433,50,RL,68.0,9869,AllPub,Edwards,Norm,1Fam,1.5Fin,5,1934,1950,Gable,PConc,No,FuseA,1.0,0.0,4,TA,Typ,0,Detchd,1.0,253.0,N,0,,2009,86847.67543714393
434,20,RL,97.0,11080,AllPub,Timber,Norm,1Fam,1Story,8,2007,2007,Gable,PConc,Gd,SBrkr,0.0,0.0,3,Gd,Typ,1,Attchd,3.0,749.0,Y,0,,2007,239002.1430316268
435,60,RL,,8829,AllPub,Gilbert,Norm,1Fam,2Story,7,2002,2002,Gable,PConc,No,SBrkr,0.0,0.0,4,Gd,Typ,1,BuiltIn,2.0,462.0,Y,0,,2007,221936.84764730546
436,50,RM,58.0,7089,AllPub,IDOTRR,Norm,1Fam,1.5Fin,6,1940,1950,Gable,BrkTil,No,FuseA,0.0,0.0,3,Gd,Typ,0,Detchd,2.0,747.0,Y,0,MnPrv,2007,129523.71858241854
437,50,RM,63.0,8763,AllPub,BrkSide,Artery,1Fam,1.5Fin,5,1950,1950,Gable,CBlock,No,SBrkr,1.0,0.0,3,TA,Typ,0,Detchd,1.0,335.0,Y,0,,2007,132656.7049970111
438,80,RL,,10484,AllPub,NWAmes,Norm,1Fam,SLvl,6,1978,1978,Gable,CBlock,Av,SBrkr,0.0,1.0,3,TA,Typ,1,Attchd,2.0,591.0,Y,0,MnPrv,2007,148181.4005072932
439,20,RL,83.0,12979,AllPub,Timber,Norm,1Fam,1Story,6,1989,1989,Gable,CBlock,No,SBrkr,0.0,0.0,3,TA,Typ,1,Attchd,2.0,465.0,Y,0,,2008,175648.88126479325
440,160,FV,32.0,2734,AllPub,Somerst,Norm,Twnhs,2Story,8,1999,2000,Gable,PConc,No,SBrkr,1.0,0.0,3,Gd,Typ,0,Attchd,2.0,507.0,Y,0,,2009,172601.12655750354
